datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 0.0 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 12.528650325606081 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 27.447195833772874 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 32.529373226392366 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 31.271348986008078 ,rms: 7406.1783881623851
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 31.552504096395015 ,rms: 7138.2271547821947
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 31.489792864727189 ,rms: 3997.9776876964802
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 31.484985937882584 ,rms: 2946.994731224328
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 31.480698739675493 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 31.482432859842753 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 31.482596149554709 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 31.482674845930863 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 18 ,nearest: |[0.00098, 0.00137]| ,std: 31.482706629084543 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 46.594146523806018 ,rms: 165321.61520858496
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 45.356486011553493 ,rms: 261599.23228571386
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 45.10888941495265 ,rms: 232048.43553077028
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 44.983508858313897 ,rms: 162992.62308691285
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 44.982417633379619 ,rms: 163284.66430669167
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 44.99042198667896 ,rms: 200422.22579402779
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 44.989784384360533 ,rms: 237916.28118758998
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 44.98867010258045 ,rms: 233612.30280508037
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 44.988472487140953 ,rms: 229884.02358056273
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 44.98846926236093 ,rms: 229681.42358249082
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 5.4271355788147115 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 4.361537986277523 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 4.8401105841069816 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 5.1414545907685341 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 5.1558426996783986 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 5.1503000128982643 ,rms: nan
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 5.1560190805985737 ,rms: nan
