1 nan nan nan nan nan nan nan nan nan nan nan
2 nan nan nan nan nan nan nan nan nan nan nan
3 nan nan nan nan nan nan nan nan nan nan nan
4 nan nan nan nan nan nan nan nan nan nan nan
5 nan nan nan nan nan nan nan nan nan nan nan
6 nan nan nan nan nan nan nan nan nan 18.958922685792828 19.318262405515263
7 nan nan nan nan nan nan nan nan nan nan nan
8 nan nan nan nan nan nan nan nan nan nan nan
9 nan nan nan nan nan nan nan nan nan nan nan
10 nan nan nan nan nan nan nan nan nan nan nan
11 nan nan nan nan nan nan nan nan nan nan nan
12 nan nan nan nan nan nan nan nan nan nan nan
