datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 39.566810586652046 ,rms: 2888.8580000000002
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 29.189164834746467 ,rms: 5947.3119999999999
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 39.131965866169061 ,rms: 8392.6880000000001
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 46.334671114312805 ,rms: 8801.2880000000005
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 43.586226183151879 ,rms: 6698.2880000000005
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 43.427134584522399 ,rms: 1536.048
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 43.303071422181347 ,rms: 1536.048
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 43.354135164922688 ,rms: 1536.048
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 43.336780363040035 ,rms: 1536.048
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 28.467042347247808 ,rms: 2492.3700000000003
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 25.327825607422362 ,rms: 3870.4480000000003
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 41.263126544711767 ,rms: 3923.8480000000004
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 46.028043562749161 ,rms: 3923.8480000000004
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 45.325331176874222 ,rms: 2440.328
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 44.656631528922922 ,rms: 2440.328
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 44.697743576132389 ,rms: 2033.328
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 44.782382726366421 ,rms: 2033.328
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 44.791492775644322 ,rms: 2033.328
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 44.811073792408564 ,rms: 2033.328
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 39.566810586652046 ,rms: 6562.1360000000004
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 29.659017916141455 ,rms: 5871.3360000000002
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 41.662536967966105 ,rms: 6515.3360000000002
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 47.910383425450689 ,rms: 11462.48
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 46.912830627025542 ,rms: 11529.679999999998
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 46.803362911036523 ,rms: 8764.7919999999995
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 46.404214012386504 ,rms: 8764.7919999999995
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 46.447131944160503 ,rms: 8764.7919999999995
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 46.436189889894436 ,rms: 8764.7919999999995
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 46.44871492988382 ,rms: 8764.7919999999995
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 39.566810586652046 ,rms: 1738.2
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 29.646687736575227 ,rms: 978.39999999999998
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 41.505351880135628 ,rms: 2737.5999999999999
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 46.505124441748727 ,rms: 1778.4000000000001
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 44.296593217386956 ,rms: 1316.5999999999999
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 44.316386163283717 ,rms: 648.79999999999995
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 44.206164878543348 ,rms: 648.79999999999995
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 44.258333571813722 ,rms: 648.79999999999995
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 44.237101959465306 ,rms: 648.79999999999995
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 44.253215407731552 ,rms: 648.79999999999995
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 39.566810586652046 ,rms: 2639.0
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 29.678253823296274 ,rms: 1417.0
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 41.487403270173949 ,rms: 1690.4000000000001
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 46.45539630539016 ,rms: 1423.8
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 44.36142766964214 ,rms: 1299.0
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 44.33027764025725 ,rms: 1299.0
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 44.198689020878952 ,rms: 1372.5999999999999
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 44.255027815624366 ,rms: 1372.5999999999999
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 44.238868333856821 ,rms: 1372.5999999999999
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 44.255910454276922 ,rms: 1372.5999999999999
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 39.566810586652046 ,rms: 6303.5619999999999
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 29.659017916141455 ,rms: 12293.312
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 33.322226104373946 ,rms: 9151.2720000000008
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 42.776646918973285 ,rms: 7722.5439999999999
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 41.025226127672603 ,rms: 7043.1440000000002
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 41.095237248656744 ,rms: 976.71999999999991
datetime: 2014-01-01 00:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 41.148024094508152 ,rms: 976.71999999999991
datetime: 2014-01-01 00:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 41.17709393417595 ,rms: 976.71999999999991
datetime: 2014-01-01 00:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 41.162569473868594 ,rms: 976.71999999999991
datetime: 2014-01-01 00:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 41.188556874352997 ,rms: 976.71999999999991
datetime: 2014-01-01 00:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 41.974337397986403 ,rms: 2525.5620000000004
datetime: 2014-01-01 00:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 28.790601765159408 ,rms: 2055.9620000000004
datetime: 2014-01-01 00:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 43.210762991010775 ,rms: 1938.3620000000003
datetime: 2014-01-01 00:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 45.682671388834642 ,rms: 874.56200000000013
datetime: 2014-01-01 00:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 43.909085849741956 ,rms: 1027.5620000000001
datetime: 2014-01-01 00:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 43.942648358956056 ,rms: 875.76800000000003
